target_queueing_delay_us,metric,mean,std,n_seeds
2,goodput_gbps,27.811465800146905,3.6361491267431116,5
4,goodput_gbps,37.56052336918004,4.41715539627689,5
6,goodput_gbps,47.28013341853932,3.81634075089612,5
8,goodput_gbps,51.12463833483114,3.662909614596714,5
12,goodput_gbps,51.62584856545469,3.7567643441801155,5
16,goodput_gbps,52.414159937682236,3.5185512861894006,5
2,latency_us,9.505742513486513,0.23046942700129533,5
4,latency_us,10.432950409590411,0.04694686501724643,5
6,latency_us,11.140964795204797,0.10252337038968654,5
8,latency_us,11.700040983016983,0.11720355399667581,5
12,latency_us,14.039025934065936,0.10046806378570337,5
16,latency_us,14.187403124875127,0.019544610757882913,5
