incast_degree,algorithm,mean_us,std_us,n_seeds
16,REPS,10.132448918469198,0.11070524965655584,5
16,Oblivious,10.473500000000026,0.033110255485316376,5
32,REPS,10.291372046589029,0.065045081935903,5
32,Oblivious,10.321502495840273,0.08890168199753927,5
64,REPS,11.396176372712128,0.04878819656495874,5
64,Oblivious,11.401768552412639,0.018530736211181238,5
