group,algorithm,mean_us,std_us,n_seeds
Incast,REPS,3.400251081530788,0.11176050785905145,5
Incast,Oblivious,3.247060565723795,0.14270497680862781,5
8 receivers,REPS,7.621936633663371,0.24200053015729417,5
8 receivers,Oblivious,9.881023762376236,0.9527583918979793,5
