seed,path_delay_us
13,3.6645918367346937
13,11.304625
13,8.9945
13,4.881941176470589
13,2.2169999999999996
13,1.6434999999999997
13,10.5994
13,4.3978918918918914
13,9.220526315789474
13,1.832411764705882
13,3.509857142857143
13,1.7772599999999998
13,2.396714285714286
13,10.193272727272728
13,10.64970588235294
13,9.923153846153847
13,3.9401249999999997
13,2.3239333333333327
13,9.415000000000001
13,1.8295
13,10.55975
13,3.47412
13,9.901733333333333
13,4.332785714285714
13,2.1566296296296295
13,10.278
13,10.788
13,8.078266666666666
13,11.60542857142857
13,7.067272727272727
13,2.4934999999999996
13,11.342866666666666
13,3.4166923076923075
13,10.974
13,1.8045666666666664
13,11.205428571428572
13,3.6908846153846153
13,1.4246923076923075
13,10.651714285714286
13,10.483117647058823
13,2.870848484848485
13,2.476378378378378
13,3.7239999999999993
13,11.2734375
13,9.981066666666667
13,2.1658113207547167
13,2.3647407407407406
13,10.248533333333333
13,9.966571428571427
13,7.489733333333334
13,8.683833333333332
13,3.695268292682927
13,1.3896153846153843
13,3.66344
13,7.8875625
13,3.6239999999999997
13,1.460821917808219
13,2.130382978723404
13,8.948099999999998
13,9.908923076923077
13,9.876384615384614
13,9.870090909090909
13,2.2209210526315784
13,1.4381599999999997
13,11.5437
13,3.686657894736842
13,9.542875
13,11.40190909090909
13,2.9895925925925924
13,1.8956666666666666
13,3.7538636363636364
13,9.924999999999999
13,9.220923076923077
13,4.406590909090909
13,1.9298275862068963
13,10.744857142857143
13,10.268749999999999
13,9.472222222222221
13,3.3516551724137926
13,9.4363
13,3.839259259259259
13,10.466444444444445
13,10.313727272727272
13,3.677689655172413
13,3.6466363636363632
13,9.00391304347826
13,3.0545882352941174
13,9.096666666666666
13,8.484857142857143
13,8.795961538461539
13,9.953071428571429
13,9.444727272727272
13,2.6157931034482753
13,1.7559166666666666
13,9.151538461538461
13,1.6767499999999997
13,2.233733333333333
13,9.791545454545453
13,9.2949
13,3.385465517241379
13,10.055636363636363
13,4.715803921568627
13,8.116857142857143
13,2.0264423076923075
13,10.384181818181817
13,10.25
13,4.763375
13,1.7261999999999995
13,8.61515
13,1.9494999999999996
13,2.2725833333333334
13,8.2656
13,3.556190476190476
13,10.102642857142857
13,2.7780624999999994
13,4.768428571428571
13,9.9156875
13,10.19
13,3.535210526315789
13,2.4480999999999997
13,11.296444444444445
13,9.136928571428571
13,3.5972499999999994
13,11.532499999999999
13,2.000696428571428
13,10.66375
13,2.5077
13,10.021636363636363
13,11.069785714285715
13,8.985692307692307
13,0.9438749999999996
13,1.5898571428571426
13,10.46070588235294
13,7.707785714285714
13,10.056615384615384
13,3.2190624999999997
13,2.0081428571428575
13,3.768604166666666
13,9.954
13,4.805916666666667
13,9.422428571428572
13,2.448035714285714
