cell_id,scenario,foreground_flows,hot_path_groups,background_utilization,seed,run_id,episode_count,round_count,completed_rounds,valid_completed_rounds,censored_rounds,completion_rate,censor_rate,median_delta_S,literal_no_progress_count,literal_no_progress_rate,no_progress_rate_1us,no_progress_rate_2us,no_progress_rate_4us,low_floor_fraction,completed_round_flow_count,all_valid_rounds_match_scenario,min_capacity_margin_gbps,configured_background_gbps,measured_background_gbps,L_foreground_gbps,C_healthy_gbps,C_hot_residual_gbps,C_effective_residual_gbps,entropy_coverage,physical_path_coverage,mean_qdelay_ps,low_floor_high_spread_occupancy,mean_hold_duration_ps,mean_actual_cwnd_bytes,mean_fifo_depth,virtual_replacements,admission_pass,admission_fail,failed_predicates
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,598,598,546,546,52,0.9130434782608695,0.08695652173913043,-0.0024629601154721814,279,0.510989010989011,0.6172161172161172,0.6904761904761905,0.8168498168498168,1.0,14,1,19.886253311517976,150.0,146.804614226056,1327.9367034013246,1000.0,450.0,1450.0,5,3,11479959.322223129,0.958047292143402,30009426.361204013,262926.0,0.38127090301003347,4473,10181,113,round_censored
coarse-f16-h6-u25,persistent,16,6,0.25,102,confirmation_coarse-f16-h6-u25_s102,686,686,593,593,93,0.8644314868804664,0.13556851311953352,0.0013195168830964046,290,0.48903878583473864,0.5902192242833052,0.6728499156829679,0.821247892074199,1.0,16,1,67.82604397858631,150.0,146.2740466899432,1329.953980598716,1000.0,450.0,1450.0,5,4,11747608.535936,0.8671390611160319,20381852.128279883,262926.0,0.41253644314868804,5013,9851,96,round_censored
coarse-f16-h6-u25,persistent,16,6,0.25,103,confirmation_coarse-f16-h6-u25_s103,485,485,423,423,62,0.8721649484536083,0.12783505154639174,0.0018745318092073025,210,0.49645390070921985,0.5957446808510638,0.6855791962174941,0.8297872340425532,1.0,16,1,70.66578966022144,150.0,145.87184226740604,1293.5093965329359,1000.0,450.0,1450.0,6,3,12597170.624258397,0.9280936454849499,32762902.088659793,262926.0,0.334020618556701,3551,9125,72,round_censored
